Skills,Tools,Interest,Education Level,Years of Experience,Recommended Career
"Spark, React, NLP, Data Analysis, UI/UX, Power BI, JavaScript","AWS EC2, Figma, VS Code",IoT,Undergraduate,8,Embedded Systems Engineer
"Tableau, C++, CSS, SQL, TensorFlow","PyCharm, Jira, GitHub, AWS EC2",Cybersecurity,Undergraduate,8,Security Engineer
"AWS, Cybersecurity, Java, Data Analysis, Power BI, Docker","Postman, Azure Portal, GitHub",IoT,Undergraduate,8,Embedded Systems Engineer
"Kubernetes, Machine Learning, NLP, Figma","Jupyter, Figma, Google Cloud",Data Science,Graduate,0,Data Analyst
"Hadoop, Networking, Node.js, Figma, Deep Learning","Postman, Kubernetes, Google Cloud, GitLab",Web Development,Graduate,1,Frontend Developer
"Java, HTML, AWS, Tableau, REST APIs, Networking","GitLab, AWS EC2, VS Code",AI/ML,Undergraduate,1,Machine Learning Engineer
"Statistics, JavaScript, NLP, C++, HTML, Embedded Systems","Postman, AWS EC2, GitHub",Cloud,Postgraduate,2,DevOps Engineer
"Tableau, Embedded Systems, Spark, C++, REST APIs","Postman, GitHub, AWS EC2",Data Science,Undergraduate,6,Data Analyst
"Networking, Cybersecurity, Python, TensorFlow, CSS","GitLab, GitHub, Google Cloud, Jira",IoT,Graduate,1,Embedded Systems Engineer
"Node.js, Kubernetes, C++, UI/UX","Jira, Postman, Docker, PyCharm",IoT,Undergraduate,6,Embedded Systems Engineer
"Spark, Kubernetes, Tableau, Power BI, Deep Learning, Statistics, CSS","AWS EC2, GitHub, Google Cloud",IoT,Graduate,7,Embedded Systems Engineer
"Linux, Node.js, PyTorch, Azure, Networking, JavaScript","GitLab, Figma",IoT,Graduate,0,Embedded Systems Engineer
"Data Analysis, JavaScript, Python, NLP, Azure, Embedded Systems","GitLab, GitHub, AWS EC2, Google Cloud",Data Science,Graduate,5,Data Scientist
"Tableau, PyTorch, Data Analysis, Git, C++, Cybersecurity, Machine Learning","Docker, Kubernetes, PyCharm, Postman",AI/ML,Undergraduate,8,AI Engineer
"Spark, REST APIs, Git, NLP, AWS","Kubernetes, AWS EC2, Figma, GitLab",Data Science,Postgraduate,2,Data Analyst
"UI/UX, Machine Learning, Cybersecurity, C++, Data Analysis, REST APIs, Docker","Figma, Kubernetes",AI/ML,Postgraduate,0,AI Engineer
"Data Analysis, Networking, CSS, Hadoop, Azure, Cybersecurity, C++","Jira, AWS EC2, VS Code",Data Science,Graduate,3,Data Scientist
"REST APIs, Figma, HTML, Node.js, PyTorch, JavaScript","VS Code, Figma, GitHub, GitLab",Web Development,Graduate,6,Backend Developer
"TensorFlow, JavaScript, Networking, UI/UX, HTML","Figma, Azure Portal, Google Cloud",Web Development,Graduate,5,Frontend Developer
"Hadoop, JavaScript, Spark, Linux","Kubernetes, GitHub, Google Cloud",Data Science,Undergraduate,8,Data Scientist
"CSS, Docker, Spark, Node.js, Java","Docker, PyCharm, Kubernetes",Cybersecurity,Postgraduate,1,Security Engineer
"Tableau, UI/UX, Azure, Linux, Node.js, Networking, Machine Learning","VS Code, GitHub, Figma",Web Development,Graduate,6,Frontend Developer
"Python, Docker, Deep Learning, React","Kubernetes, Jupyter, Azure Portal, GitLab",AI/ML,Graduate,2,Machine Learning Engineer
"Data Analysis, Linux, NLP, HTML","Docker, PyCharm, VS Code, Google Cloud",AI/ML,Undergraduate,9,AI Engineer
"Machine Learning, Python, Docker, PyTorch, JavaScript","Docker, AWS EC2, Figma",Web Development,Undergraduate,10,Backend Developer
"Embedded Systems, Java, Spark, TensorFlow, HTML","GitLab, AWS EC2, PyCharm, Figma",Web Development,Graduate,10,Frontend Developer
"AWS, Data Analysis, Docker, Machine Learning, NLP, SQL","VS Code, Figma",Cybersecurity,Graduate,7,Cybersecurity Analyst
"UI/UX, Machine Learning, Deep Learning, Linux","Figma, Jupyter",IoT,Undergraduate,8,Embedded Systems Engineer
"Statistics, Python, Figma, Networking, Cybersecurity","Azure Portal, Jira",AI/ML,Undergraduate,2,Machine Learning Engineer
"Tableau, REST APIs, PyTorch, Git, Docker, Networking, Machine Learning","VS Code, Azure Portal, AWS EC2",Cloud,Graduate,7,Cloud Engineer
"JavaScript, Machine Learning, Statistics, PyTorch, Java","PyCharm, Google Cloud, Postman, Kubernetes",Web Development,Undergraduate,4,Backend Developer
"Git, REST APIs, Figma, React, Machine Learning","VS Code, Jupyter, Azure Portal, GitLab",Design,Undergraduate,0,UI/UX Designer
"Hadoop, SQL, Power BI, AWS, Python, NLP, Linux","Azure Portal, Postman",Design,Postgraduate,9,UI/UX Designer
"Linux, NLP, Statistics, Cybersecurity","Kubernetes, Figma, VS Code",AI/ML,Graduate,6,AI Engineer
"JavaScript, Azure, Figma, Power BI, PyTorch, Embedded Systems, SQL","Jira, Google Cloud, Azure Portal",Design,Postgraduate,2,UI/UX Designer
"Statistics, AWS, NLP, Power BI","GitHub, Kubernetes, PyCharm",AI/ML,Postgraduate,6,AI Engineer
"Cybersecurity, Deep Learning, PyTorch, Networking","Azure Portal, Docker, Google Cloud",Design,Undergraduate,7,UI/UX Designer
"C++, Statistics, Java, Kubernetes","Google Cloud, PyCharm, AWS EC2, Postman",Cybersecurity,Graduate,6,Security Engineer
"Java, Kubernetes, Docker, Machine Learning","Jira, Kubernetes",Cybersecurity,Undergraduate,4,Cybersecurity Analyst
"React, TensorFlow, Spark, UI/UX, AWS, Networking","PyCharm, GitHub",Web Development,Undergraduate,9,Backend Developer
"Tableau, SQL, NLP, Git, HTML","GitHub, VS Code, Figma, Google Cloud",AI/ML,Undergraduate,1,Machine Learning Engineer
"Statistics, Linux, React, PyTorch, REST APIs","Google Cloud, VS Code, Jira",Cloud,Graduate,3,DevOps Engineer
"Tableau, UI/UX, Statistics, Docker","Kubernetes, PyCharm",AI/ML,Graduate,6,Machine Learning Engineer
"Cybersecurity, Python, Deep Learning, Networking, TensorFlow, Node.js","AWS EC2, GitLab, Figma",AI/ML,Postgraduate,4,AI Engineer
"React, Cybersecurity, Node.js, REST APIs, Power BI","Jira, Docker",Cloud,Undergraduate,6,DevOps Engineer
"Cybersecurity, Azure, Spark, JavaScript","Jira, GitLab, Google Cloud",Cloud,Postgraduate,1,DevOps Engineer
"Python, Figma, C++, Azure, Hadoop","VS Code, GitHub, AWS EC2, Postman",Cloud,Postgraduate,10,DevOps Engineer
"JavaScript, HTML, Tableau, React, SQL","VS Code, Azure Portal, Docker",IoT,Undergraduate,0,Embedded Systems Engineer
"UI/UX, Azure, TensorFlow, REST APIs, Java, Embedded Systems, SQL","Azure Portal, GitLab",Cybersecurity,Graduate,8,Security Engineer
"HTML, Git, Azure, TensorFlow","Docker, PyCharm, Jupyter",Design,Postgraduate,8,UI/UX Designer
"NLP, Machine Learning, Embedded Systems, Data Analysis","Docker, Figma, Jira, Postman",Cybersecurity,Undergraduate,7,Cybersecurity Analyst
"Linux, JavaScript, NLP, Kubernetes","Jira, Figma",IoT,Graduate,7,Embedded Systems Engineer
"Power BI, REST APIs, NLP, Python, React","Google Cloud, Jira, Jupyter",Web Development,Graduate,0,Backend Developer
"Embedded Systems, JavaScript, AWS, REST APIs, SQL","Figma, VS Code, Jira, Jupyter",Web Development,Undergraduate,7,Frontend Developer
"Embedded Systems, NLP, Machine Learning, PyTorch, Data Analysis, Git, Node.js","VS Code, GitHub, PyCharm, Azure Portal",AI/ML,Graduate,4,Machine Learning Engineer
"Machine Learning, Kubernetes, Data Analysis, Statistics, Deep Learning, React, Docker","Kubernetes, GitLab",Web Development,Graduate,6,Frontend Developer
"Tableau, Spark, Figma, PyTorch, Cybersecurity","Postman, Jira, GitLab, Docker",Design,Graduate,1,UI/UX Designer
"Hadoop, C++, Figma, Statistics","Google Cloud, Postman, Jira",Cloud,Undergraduate,1,DevOps Engineer
"Deep Learning, Kubernetes, Statistics, UI/UX, REST APIs, Machine Learning, C++","VS Code, Google Cloud, AWS EC2, Kubernetes",AI/ML,Postgraduate,6,AI Engineer
"Hadoop, Spark, Figma, Tableau, Kubernetes","GitHub, Azure Portal",Cloud,Graduate,6,Cloud Engineer
"TensorFlow, Machine Learning, Spark, Python, Docker, SQL, React","PyCharm, Postman, Kubernetes",Cybersecurity,Undergraduate,2,Security Engineer
"JavaScript, Statistics, Java, Networking, Deep Learning","Docker, Jira, Azure Portal",IoT,Postgraduate,6,Embedded Systems Engineer
"React, PyTorch, Docker, Hadoop, SQL, CSS, NLP","Azure Portal, Figma",Data Science,Undergraduate,0,Data Analyst
"Tableau, AWS, Statistics, Figma, NLP, Spark","Figma, AWS EC2",Web Development,Undergraduate,2,Backend Developer
"UI/UX, Statistics, Tableau, Docker, NLP, SQL","VS Code, Google Cloud",Cybersecurity,Undergraduate,0,Cybersecurity Analyst
"HTML, Cybersecurity, Power BI, Spark","Jira, Jupyter",IoT,Postgraduate,1,Embedded Systems Engineer
"AWS, Azure, Embedded Systems, Kubernetes, Figma, PyTorch","Docker, Figma",Cybersecurity,Graduate,10,Security Engineer
"Tableau, JavaScript, NLP, Python, Docker, Spark, Java","Kubernetes, Jira, GitHub, VS Code",Web Development,Undergraduate,0,Frontend Developer
"Power BI, Docker, Linux, Git, PyTorch, Deep Learning, Statistics","PyCharm, Jira, Jupyter, Docker",AI/ML,Undergraduate,10,AI Engineer
"Networking, AWS, Git, Statistics, NLP, REST APIs, Deep Learning","AWS EC2, GitLab",Cloud,Undergraduate,1,Cloud Engineer
"SQL, UI/UX, PyTorch, Python, Cybersecurity, HTML","Google Cloud, Jupyter, AWS EC2",Design,Postgraduate,1,UI/UX Designer
"Embedded Systems, Figma, TensorFlow, Hadoop, Deep Learning, Linux","Jupyter, Azure Portal, PyCharm, GitLab",IoT,Undergraduate,8,Embedded Systems Engineer
"AWS, Java, Spark, Data Analysis, SQL, React","Kubernetes, GitHub",Design,Postgraduate,1,UI/UX Designer
"Cybersecurity, Linux, Spark, Tableau, AWS, NLP, Git","Docker, Azure Portal, Google Cloud, Jira",AI/ML,Postgraduate,2,AI Engineer
"C++, AWS, Statistics, Java","Google Cloud, GitLab, Figma, PyCharm",AI/ML,Undergraduate,2,AI Engineer
"Data Analysis, Java, SQL, Deep Learning, React, C++","Azure Portal, Figma",IoT,Undergraduate,10,Embedded Systems Engineer
"C++, HTML, CSS, Kubernetes","PyCharm, Docker, AWS EC2, Jupyter",Web Development,Graduate,2,Backend Developer
"Power BI, Python, Embedded Systems, JavaScript, Java, C++, Figma","GitLab, Jupyter, Jira, Google Cloud",Cloud,Graduate,3,DevOps Engineer
"Networking, Statistics, Node.js, HTML, Java, JavaScript, Kubernetes","Figma, Azure Portal",Web Development,Undergraduate,4,Frontend Developer
"SQL, REST APIs, Machine Learning, CSS, PyTorch, Deep Learning","Jira, VS Code",Cybersecurity,Postgraduate,7,Cybersecurity Analyst
"JavaScript, Java, REST APIs, Data Analysis, Azure","Postman, GitLab, Docker, Google Cloud",AI/ML,Graduate,6,AI Engineer
"REST APIs, Node.js, JavaScript, HTML, Deep Learning","Docker, Azure Portal, Postman, Kubernetes",Cloud,Undergraduate,8,DevOps Engineer
"TensorFlow, C++, Deep Learning, Java, Networking, Data Analysis","Postman, Azure Portal, Jira, PyCharm",IoT,Postgraduate,1,Embedded Systems Engineer
"React, Machine Learning, SQL, C++, Figma, Kubernetes","Figma, VS Code, GitLab",Web Development,Undergraduate,6,Frontend Developer
"HTML, React, JavaScript, NLP","Kubernetes, Azure Portal, Jira, Jupyter",Design,Graduate,3,UI/UX Designer
"Docker, REST APIs, Kubernetes, Java","Figma, Postman, Azure Portal",IoT,Graduate,1,Embedded Systems Engineer
"SQL, NLP, HTML, Python, Cybersecurity, Tableau, Azure","Docker, GitLab, Figma",Web Development,Undergraduate,9,Frontend Developer
"NLP, Cybersecurity, Kubernetes, Spark","PyCharm, VS Code",Web Development,Undergraduate,1,Backend Developer
"UI/UX, Python, Java, Networking, Azure, SQL","Postman, VS Code",Design,Undergraduate,6,UI/UX Designer
"CSS, Linux, Hadoop, Azure, Java","Figma, Google Cloud, GitHub",Cloud,Postgraduate,2,Cloud Engineer
"Hadoop, C++, HTML, AWS","AWS EC2, Figma",IoT,Graduate,7,Embedded Systems Engineer
"UI/UX, Networking, SQL, Power BI, Deep Learning, Machine Learning, Docker","VS Code, Postman, PyCharm",AI/ML,Graduate,5,Machine Learning Engineer
"C++, Linux, SQL, Statistics","Jira, Docker, Kubernetes",IoT,Postgraduate,1,Embedded Systems Engineer
"Python, Figma, Deep Learning, AWS, Azure","AWS EC2, Docker, Google Cloud, Figma",IoT,Postgraduate,0,Embedded Systems Engineer
"React, Node.js, Spark, Embedded Systems, CSS, Networking, Statistics","Azure Portal, Kubernetes, Google Cloud, PyCharm",AI/ML,Postgraduate,3,AI Engineer
"Node.js, CSS, C++, SQL, Git, Azure","Postman, GitHub, Jupyter",Data Science,Undergraduate,5,Data Scientist
"React, Python, Cybersecurity, Embedded Systems, HTML, Java","PyCharm, Jira, VS Code, GitHub",AI/ML,Postgraduate,4,Machine Learning Engineer
"UI/UX, NLP, AWS, Networking, HTML","VS Code, Kubernetes",Web Development,Postgraduate,1,Backend Developer
"Machine Learning, Statistics, Data Analysis, Deep Learning, Power BI, PyTorch, React","AWS EC2, Figma",Web Development,Graduate,7,Backend Developer
"Kubernetes, TensorFlow, Python, JavaScript, C++, Deep Learning, Networking","AWS EC2, GitHub",IoT,Graduate,1,Embedded Systems Engineer
"JavaScript, Statistics, Cybersecurity, PyTorch, React, UI/UX, REST APIs","Figma, GitHub",Design,Undergraduate,2,UI/UX Designer
"C++, Node.js, SQL, Tableau, UI/UX, Embedded Systems","VS Code, GitHub",Cloud,Undergraduate,1,Cloud Engineer
"React, Java, Figma, Azure, SQL","GitLab, GitHub",IoT,Graduate,2,Embedded Systems Engineer
"Git, Deep Learning, Azure, Machine Learning, Spark, Embedded Systems, Python","Postman, Docker",AI/ML,Postgraduate,9,Machine Learning Engineer
"Kubernetes, TensorFlow, HTML, PyTorch, Azure, AWS","AWS EC2, Postman",Web Development,Undergraduate,9,Frontend Developer
"SQL, C++, React, Azure, PyTorch","Jupyter, Jira, Azure Portal, VS Code",Cloud,Graduate,2,DevOps Engineer
"Networking, Python, Tableau, NLP","Kubernetes, Jira, Jupyter, Postman",AI/ML,Graduate,7,AI Engineer
"Power BI, Spark, NLP, Networking","Jupyter, Kubernetes, Docker",AI/ML,Graduate,0,AI Engineer
"REST APIs, Java, Hadoop, Python, NLP, Docker","AWS EC2, Jupyter",Web Development,Graduate,6,Frontend Developer
"SQL, Statistics, Spark, Hadoop, UI/UX, Tableau","Docker, Figma",IoT,Undergraduate,0,Embedded Systems Engineer
"Cybersecurity, Spark, Node.js, C++, Statistics, Networking","Google Cloud, Jira, Postman",Web Development,Undergraduate,7,Backend Developer
"TensorFlow, Kubernetes, Tableau, Java, Networking","PyCharm, Figma",IoT,Undergraduate,3,Embedded Systems Engineer
"CSS, Networking, REST APIs, SQL","Azure Portal, GitLab, VS Code, Kubernetes",Data Science,Graduate,8,Data Scientist
"PyTorch, Linux, HTML, Statistics, Hadoop","VS Code, PyCharm, Google Cloud, AWS EC2",Cloud,Postgraduate,4,Cloud Engineer
"PyTorch, SQL, Tableau, Git, C++, Spark, Power BI","Jira, Azure Portal, Figma, Google Cloud",Cybersecurity,Graduate,2,Security Engineer
"Node.js, TensorFlow, Hadoop, Python, REST APIs, Spark","Kubernetes, Figma, GitHub, Azure Portal",Web Development,Graduate,2,Backend Developer
"Figma, Machine Learning, CSS, PyTorch, Azure","Postman, Kubernetes, Figma",IoT,Undergraduate,10,Embedded Systems Engineer
"JavaScript, Cybersecurity, SQL, Data Analysis, CSS","Postman, Jupyter",Web Development,Graduate,0,Backend Developer
"Networking, NLP, UI/UX, Deep Learning","Docker, Postman, GitLab, Kubernetes",AI/ML,Graduate,3,Machine Learning Engineer
"Figma, Spark, JavaScript, UI/UX, HTML","Postman, Google Cloud, Azure Portal",AI/ML,Graduate,1,AI Engineer
"REST APIs, Embedded Systems, Hadoop, Python, TensorFlow, Git","Kubernetes, Figma, AWS EC2, GitLab",Web Development,Postgraduate,8,Frontend Developer
"Node.js, C++, Data Analysis, HTML","GitLab, Google Cloud",Data Science,Postgraduate,7,Data Analyst
"Python, Machine Learning, AWS, Data Analysis","VS Code, AWS EC2, Postman, Kubernetes",IoT,Undergraduate,3,Embedded Systems Engineer
"PyTorch, JavaScript, Cybersecurity, C++, Deep Learning, Machine Learning, Statistics","Figma, Postman, GitHub",Web Development,Graduate,5,Frontend Developer
"SQL, Data Analysis, AWS, Kubernetes, Java","GitHub, GitLab, Kubernetes",AI/ML,Postgraduate,5,AI Engineer
"Azure, Networking, Kubernetes, AWS, Hadoop, Cybersecurity","PyCharm, GitHub, Azure Portal, Jupyter",Cloud,Postgraduate,9,DevOps Engineer
"UI/UX, Figma, Git, Node.js, CSS","Docker, Jupyter, GitLab",Data Science,Undergraduate,7,Data Scientist
"SQL, CSS, Statistics, Figma","Azure Portal, Figma, Jira",Cloud,Undergraduate,5,DevOps Engineer
"NLP, Hadoop, Machine Learning, Figma","Figma, Jupyter, Postman",IoT,Postgraduate,3,Embedded Systems Engineer
"Statistics, Machine Learning, C++, CSS, Cybersecurity","Postman, PyCharm, Google Cloud",Cybersecurity,Undergraduate,6,Cybersecurity Analyst
"SQL, AWS, CSS, Machine Learning, JavaScript, Linux, Cybersecurity","Jupyter, Google Cloud, Jira, VS Code",AI/ML,Graduate,8,Machine Learning Engineer
"Deep Learning, Cybersecurity, Figma, UI/UX, HTML, C++, Networking","AWS EC2, Docker, GitLab, Jupyter",Cybersecurity,Undergraduate,5,Security Engineer
"Azure, Statistics, JavaScript, Hadoop","PyCharm, Google Cloud, GitLab",Cloud,Postgraduate,0,DevOps Engineer
"Statistics, Spark, AWS, Data Analysis, SQL, Docker","AWS EC2, Kubernetes",Data Science,Graduate,8,Data Analyst
"Tableau, Networking, PyTorch, HTML, Java, Statistics","Docker, Figma, VS Code, Postman",Cloud,Graduate,0,Cloud Engineer
"Spark, CSS, Power BI, Tableau","VS Code, PyCharm",Cybersecurity,Postgraduate,10,Cybersecurity Analyst
"Embedded Systems, Hadoop, Spark, AWS, PyTorch, Power BI, NLP","AWS EC2, VS Code",AI/ML,Graduate,10,Machine Learning Engineer
"Data Analysis, Deep Learning, Java, HTML, AWS, Statistics, Networking","Figma, Kubernetes",Web Development,Postgraduate,5,Frontend Developer
"Git, Power BI, Linux, Embedded Systems, Machine Learning, UI/UX, Node.js","Jupyter, GitHub, AWS EC2",Data Science,Postgraduate,3,Data Scientist
"Hadoop, Python, Networking, C++, Figma, PyTorch","Kubernetes, Postman",IoT,Graduate,1,Embedded Systems Engineer
"Linux, TensorFlow, JavaScript, Java, SQL, React","Kubernetes, Azure Portal, Figma",Cloud,Graduate,8,DevOps Engineer
"React, Networking, Spark, Statistics, Java","VS Code, Docker, AWS EC2",Design,Graduate,9,UI/UX Designer
"REST APIs, Networking, Git, JavaScript, Java, Power BI, Machine Learning","VS Code, Azure Portal",Design,Graduate,9,UI/UX Designer
"Networking, PyTorch, Hadoop, Python","Figma, AWS EC2, Kubernetes, Jira",IoT,Undergraduate,9,Embedded Systems Engineer
"AWS, Tableau, Machine Learning, C++","Docker, VS Code, Kubernetes",Web Development,Undergraduate,2,Backend Developer
"Machine Learning, AWS, Power BI, Figma, SQL","Figma, VS Code",Cloud,Undergraduate,7,DevOps Engineer
"Embedded Systems, JavaScript, Data Analysis, C++","Postman, AWS EC2",Cybersecurity,Postgraduate,9,Cybersecurity Analyst
"Statistics, Tableau, Docker, PyTorch, Machine Learning, Spark, CSS","Jupyter, Azure Portal, GitLab, GitHub",Cybersecurity,Postgraduate,5,Cybersecurity Analyst
"Hadoop, Java, Linux, Python, C++","Jupyter, GitHub, Azure Portal",Web Development,Postgraduate,1,Backend Developer
"Python, Statistics, TensorFlow, PyTorch","Kubernetes, VS Code",IoT,Postgraduate,7,Embedded Systems Engineer
"Linux, Data Analysis, Kubernetes, SQL, Cybersecurity","Kubernetes, Google Cloud, Figma, Azure Portal",Cybersecurity,Postgraduate,10,Cybersecurity Analyst
"Data Analysis, TensorFlow, React, Kubernetes, Deep Learning","Azure Portal, Docker, Postman",Design,Postgraduate,2,UI/UX Designer
"Hadoop, Spark, C++, CSS, Python, Java, Networking","Azure Portal, Jira, PyCharm, Jupyter",Web Development,Graduate,6,Backend Developer
"TensorFlow, CSS, NLP, Deep Learning, Figma, C++","Azure Portal, GitLab, GitHub",Cloud,Graduate,6,DevOps Engineer
"C++, Machine Learning, Python, React","Google Cloud, Kubernetes",AI/ML,Graduate,1,Machine Learning Engineer
"REST APIs, Embedded Systems, Figma, Tableau, JavaScript","Kubernetes, AWS EC2",AI/ML,Graduate,4,Machine Learning Engineer
"Figma, HTML, React, Statistics, Networking, Hadoop","Postman, Jupyter",Web Development,Undergraduate,7,Backend Developer
"Tableau, Power BI, React, UI/UX","Figma, GitLab, PyCharm, GitHub",AI/ML,Graduate,10,Machine Learning Engineer
"AWS, Data Analysis, C++, React, HTML, Linux, Machine Learning","GitHub, Azure Portal, GitLab, PyCharm",AI/ML,Undergraduate,5,Machine Learning Engineer
