,Skills,Tools,Interests,Education,Recommended Career,Recommended_Career
862,"react, figma, machine learning, docker, linux, sql, java","github, postman, jupyter, gitlab",iot,graduate,Embedded Systems Engineer,embedded systems engineer
863,"tableau, sql, hadoop, machine learning","vs code, jira",design,undergraduate,UI/UX Designer,ui/ux designer
864,"aws, git, kubernetes, power bi, python","postman, github, pycharm, google cloud",cloud,postgraduate,Cloud Engineer,cloud engineer
865,"sql, embedded systems, c++, hadoop, spark, cybersecurity","gitlab, aws ec2, jupyter, jira",web development,undergraduate,Frontend Developer,frontend developer
866,"javascript, sql, azure, git","jupyter, figma, jira, kubernetes",cybersecurity,graduate,Cybersecurity Analyst,cybersecurity analyst
867,"power bi, azure, pytorch, tensorflow, css, deep learning","gitlab, kubernetes, jira, azure portal",design,graduate,UI/UX Designer,ui/ux designer
868,"python, css, power bi, figma, machine learning, deep learning, sql","github, azure portal, postman, pycharm",cloud,graduate,Cloud Engineer,cloud engineer
869,"ui/ux, embedded systems, figma, html, tableau, cybersecurity, java","google cloud, aws ec2, jira",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
870,"azure, machine learning, cybersecurity, rest apis, sql","azure portal, aws ec2, figma, jira",design,postgraduate,UI/UX Designer,ui/ux designer
871,"tableau, linux, azure, sql","docker, aws ec2, vs code",design,graduate,UI/UX Designer,ui/ux designer
872,"machine learning, c++, ui/ux, networking","google cloud, docker, postman",design,undergraduate,UI/UX Designer,ui/ux designer
873,"data analysis, nlp, embedded systems, power bi, git, figma","google cloud, aws ec2",design,postgraduate,UI/UX Designer,ui/ux designer
874,"sql, aws, c++, rest apis, cybersecurity, css","pycharm, docker",cloud,graduate,Cloud Engineer,cloud engineer
875,"deep learning, pytorch, spark, sql, figma","jupyter, figma, aws ec2",iot,graduate,Embedded Systems Engineer,embedded systems engineer
876,"tableau, pytorch, tensorflow, ui/ux, aws, javascript, html","gitlab, azure portal",cloud,undergraduate,DevOps Engineer,devops engineer
877,"networking, rest apis, azure, kubernetes, nlp","vs code, docker, aws ec2, jupyter",data science,postgraduate,Data Analyst,data analyst
878,"java, c++, deep learning, git, node.js, power bi, ui/ux","google cloud, vs code",cybersecurity,postgraduate,Security Engineer,security engineer
879,"docker, java, spark, pytorch, javascript, nlp, python","google cloud, jupyter, github, figma",cloud,graduate,DevOps Engineer,devops engineer
880,"react, javascript, figma, linux, c++, ui/ux, tableau","aws ec2, jira",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
881,"tensorflow, spark, power bi, azure, python, sql, cybersecurity","jupyter, github",web development,undergraduate,Backend Developer,backend developer
882,"machine learning, rest apis, kubernetes, cybersecurity, data analysis","kubernetes, docker, gitlab",data science,graduate,Data Scientist,data scientist
883,"java, sql, c++, embedded systems, react, machine learning","jira, google cloud",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
884,"c++, python, ui/ux, networking","jupyter, figma, jira, postman",cloud,postgraduate,Cloud Engineer,cloud engineer
885,"hadoop, java, node.js, deep learning, tableau, networking","jira, docker, aws ec2, jupyter",ai/ml,graduate,Machine Learning Engineer,machine learning engineer
886,"docker, java, git, nlp, linux, deep learning, node.js","kubernetes, jira",data science,graduate,Data Scientist,data scientist
887,"cybersecurity, javascript, git, aws, python","postman, aws ec2, jupyter",cloud,undergraduate,DevOps Engineer,devops engineer
888,"hadoop, python, linux, spark, figma","figma, aws ec2, postman, azure portal",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
889,"tableau, figma, data analysis, spark, react","kubernetes, docker, aws ec2, github",cybersecurity,undergraduate,Security Engineer,security engineer
890,"hadoop, machine learning, css, statistics","kubernetes, docker, jupyter, google cloud",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
891,"rest apis, css, spark, docker","azure portal, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
892,"c++, tensorflow, spark, machine learning","figma, docker",data science,postgraduate,Data Analyst,data analyst
893,"rest apis, machine learning, python, docker","azure portal, github, aws ec2",design,undergraduate,UI/UX Designer,ui/ux designer
894,"c++, embedded systems, deep learning, networking, ui/ux","pycharm, figma",web development,undergraduate,Frontend Developer,frontend developer
895,"java, tensorflow, hadoop, networking","jira, jupyter, github",ai/ml,graduate,AI Engineer,ai engineer
896,"figma, machine learning, data analysis, rest apis","google cloud, postman, jira",cloud,undergraduate,DevOps Engineer,devops engineer
897,"tableau, cybersecurity, c++, javascript, react, rest apis","aws ec2, jira, azure portal",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
898,"networking, kubernetes, c++, java, tableau","jupyter, github",design,postgraduate,UI/UX Designer,ui/ux designer
899,"sql, tensorflow, hadoop, kubernetes, node.js, python","google cloud, aws ec2, docker",ai/ml,postgraduate,Machine Learning Engineer,machine learning engineer
900,"ui/ux, statistics, c++, sql, nlp, html","vs code, postman, pycharm, gitlab",design,graduate,UI/UX Designer,ui/ux designer
901,"git, embedded systems, statistics, power bi","docker, figma",design,undergraduate,UI/UX Designer,ui/ux designer
902,"machine learning, python, embedded systems, pytorch, networking, docker, figma","google cloud, pycharm",data science,postgraduate,Data Analyst,data analyst
903,"machine learning, c++, css, nlp, spark, kubernetes, sql","vs code, kubernetes, azure portal",cloud,undergraduate,Cloud Engineer,cloud engineer
904,"hadoop, python, react, spark, tableau, nlp","google cloud, aws ec2",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
905,"statistics, data analysis, pytorch, react, node.js, deep learning","jira, github, pycharm",cloud,postgraduate,Cloud Engineer,cloud engineer
906,"git, tableau, c++, embedded systems","aws ec2, pycharm, gitlab",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
907,"data analysis, networking, tableau, nlp, rest apis, sql","google cloud, github, gitlab",data science,undergraduate,Data Analyst,data analyst
908,"statistics, machine learning, html, css, nlp, ui/ux","azure portal, jupyter",ai/ml,graduate,AI Engineer,ai engineer
909,"linux, hadoop, figma, statistics, pytorch, kubernetes","google cloud, kubernetes, gitlab",data science,postgraduate,Data Scientist,data scientist
910,"azure, statistics, data analysis, networking, machine learning, power bi, spark","figma, postman",web development,graduate,Frontend Developer,frontend developer
911,"deep learning, java, cybersecurity, html, data analysis, docker","figma, kubernetes, pycharm, jupyter",cybersecurity,postgraduate,Cybersecurity Analyst,cybersecurity analyst
912,"git, css, nlp, html, tableau","jira, figma, docker, aws ec2",data science,graduate,Data Scientist,data scientist
913,"machine learning, cybersecurity, azure, pytorch, html, java","aws ec2, postman",cybersecurity,graduate,Security Engineer,security engineer
914,"machine learning, git, rest apis, kubernetes","figma, postman, jira",design,graduate,UI/UX Designer,ui/ux designer
915,"html, java, git, tensorflow, azure, ui/ux","docker, vs code, github, gitlab",cloud,undergraduate,Cloud Engineer,cloud engineer
916,"kubernetes, power bi, linux, css, javascript, docker","aws ec2, gitlab, jupyter",cybersecurity,postgraduate,Security Engineer,security engineer
917,"figma, sql, statistics, data analysis, java","google cloud, aws ec2, docker, jupyter",design,undergraduate,UI/UX Designer,ui/ux designer
918,"ui/ux, hadoop, data analysis, embedded systems, python, git","pycharm, vs code",cloud,postgraduate,Cloud Engineer,cloud engineer
919,"css, react, cybersecurity, javascript, aws","pycharm, google cloud, github",ai/ml,undergraduate,AI Engineer,ai engineer
920,"power bi, aws, ui/ux, nlp","kubernetes, postman, google cloud, github",data science,graduate,Data Scientist,data scientist
921,"data analysis, deep learning, networking, kubernetes, statistics, embedded systems","vs code, gitlab, postman",design,postgraduate,UI/UX Designer,ui/ux designer
922,"css, python, azure, tensorflow, statistics","jupyter, docker",web development,postgraduate,Frontend Developer,frontend developer
923,"machine learning, git, ui/ux, javascript, aws, css","aws ec2, azure portal",design,postgraduate,UI/UX Designer,ui/ux designer
924,"javascript, git, node.js, deep learning","azure portal, vs code, gitlab, jira",data science,graduate,Data Analyst,data analyst
925,"kubernetes, git, data analysis, aws, tensorflow, nlp, html","google cloud, gitlab, jupyter, pycharm",iot,undergraduate,Embedded Systems Engineer,embedded systems engineer
926,"power bi, networking, aws, cybersecurity","jira, postman, azure portal, pycharm",cybersecurity,graduate,Security Engineer,security engineer
927,"css, machine learning, java, sql, aws, azure, linux","postman, jira, gitlab, docker",data science,graduate,Data Scientist,data scientist
928,"html, cybersecurity, c++, power bi","docker, gitlab, vs code, github",cloud,undergraduate,Cloud Engineer,cloud engineer
929,"css, machine learning, kubernetes, java","kubernetes, figma, docker",data science,undergraduate,Data Analyst,data analyst
930,"html, figma, kubernetes, git","docker, vs code, gitlab",data science,undergraduate,Data Analyst,data analyst
931,"tableau, nlp, kubernetes, statistics, c++, tensorflow","vs code, kubernetes",ai/ml,undergraduate,Machine Learning Engineer,machine learning engineer
932,"git, deep learning, statistics, kubernetes, hadoop, machine learning","vs code, jupyter, docker",web development,undergraduate,Backend Developer,backend developer
933,"c++, pytorch, hadoop, nlp","figma, google cloud",cloud,undergraduate,Cloud Engineer,cloud engineer
934,"machine learning, docker, hadoop, git","kubernetes, azure portal, docker",design,undergraduate,UI/UX Designer,ui/ux designer
935,"kubernetes, rest apis, figma, data analysis","pycharm, docker, kubernetes",design,undergraduate,UI/UX Designer,ui/ux designer
936,"statistics, python, spark, javascript, html, deep learning, sql","docker, aws ec2, kubernetes, github",cybersecurity,graduate,Security Engineer,security engineer
937,"statistics, git, linux, spark, node.js","jupyter, jira",data science,postgraduate,Data Analyst,data analyst
938,"css, statistics, spark, networking, c++, python","kubernetes, figma, aws ec2, vs code",data science,graduate,Data Scientist,data scientist
939,"c++, sql, rest apis, nlp","docker, jupyter",ai/ml,undergraduate,AI Engineer,ai engineer
940,"java, spark, docker, aws, javascript, networking, statistics","jira, google cloud, github",cybersecurity,undergraduate,Security Engineer,security engineer
941,"nlp, aws, tableau, figma","aws ec2, google cloud",cloud,graduate,Cloud Engineer,cloud engineer
942,"c++, rest apis, embedded systems, kubernetes, react, power bi","azure portal, vs code",cloud,postgraduate,Cloud Engineer,cloud engineer
943,"react, tableau, pytorch, python, linux, java","vs code, aws ec2, figma, github",web development,undergraduate,Backend Developer,backend developer
944,"html, linux, power bi, nlp","kubernetes, vs code",iot,postgraduate,Embedded Systems Engineer,embedded systems engineer
945,"java, node.js, cybersecurity, data analysis, networking, tableau, css","google cloud, jupyter, azure portal",data science,graduate,Data Analyst,data analyst
946,"css, git, java, data analysis","gitlab, kubernetes, pycharm",web development,graduate,Frontend Developer,frontend developer
947,"c++, rest apis, git, linux, docker","vs code, kubernetes, azure portal",cybersecurity,undergraduate,Security Engineer,security engineer
948,"react, git, power bi, linux","jira, figma, postman, docker",web development,postgraduate,Frontend Developer,frontend developer
949,"hadoop, power bi, javascript, azure, docker, aws, pytorch","pycharm, azure portal, docker, google cloud",web development,graduate,Backend Developer,backend developer
950,"linux, rest apis, python, tensorflow, statistics","aws ec2, docker, figma, azure portal",cloud,undergraduate,DevOps Engineer,devops engineer
951,"power bi, machine learning, python, html, data analysis","vs code, jira, postman, pycharm",design,undergraduate,UI/UX Designer,ui/ux designer
952,"javascript, spark, machine learning, docker, rest apis, power bi, tableau","vs code, docker, gitlab, figma",data science,postgraduate,Data Analyst,data analyst
953,"data analysis, power bi, tableau, tensorflow, spark, java","github, kubernetes, docker",web development,undergraduate,Frontend Developer,frontend developer
